model,roc_auc,inv_fpr
21-46-22_1,0.920009648054,76.0195241705
21-46-22_10,0.918018138005,76.9972405058
21-46-22_2,0.916854948536,66.8505012089
21-46-22_3,0.916532665417,73.4506720492
21-46-22_4,0.914701278397,77.1439387338
21-46-22_5,0.919146613845,83.2954340468
21-46-22_6,0.913615816416,68.2801349548
21-46-22_7,0.910533027015,71.1703163209
21-46-22_8,0.916768056762,66.794059342
21-46-22_9,0.915365254963,72.506090673
00-29-44_6,0.918825360603,86.213677852
00-34-44_7,0.915571877814,83.6051734248
00-47-42_8,0.918043463831,77.8566225353
01-06-31_9,0.914132366589,72.3581342887
01-52-35_10,0.917198029148,75.4900458765
21-25-18_1,0.913761322227,67.6813399545
23-00-26_2,0.917791810505,77.5395953315
23-10-39_3,0.915107149674,72.5261799353
23-51-28_4,0.91738702479,75.6964525315
23-52-27_5,0.917884235604,74.6761050766
09-57-07_2,0.918584925711,81.5531701282
11-04-14_6,0.91493926807,69.2708391406
11-04-22_1,0.915910604861,73.2248549934
11-04-22_3,0.916957448847,69.6647682149
11-04-22_4,0.915258318818,79.0340673202
11-04-22_5,0.918606523684,73.4880237351
11-04-22_7,0.91596953644,76.0458953343
11-04-22_8,0.917777074453,74.2770298159
11-04-22_9,0.916629706758,74.2169426936
Oct-30-14-45-38_0,0.917982162021,80.1347305238
